Type,Trans Date,Post Date,Description,Amount
SALE,02/22/2017,02/24/2017,"MCDONALD'S F4210",-1.09
SALE,02/23/2017,02/24/2017,"SIMPLEMOBILE*SERVICES",-41.47
FEE,02/21/2017,02/21/2017,"CASH ADVANCE INTEREST CHA",-15.71
SALE,02/14/2017,02/16/2017,"MCDONALD'S F4210",-4.12
PAYMENT,02/14/2017,02/14/2017,"Payment Thank You - Web",51.00
SALE,02/13/2017,02/14/2017,"HEROKU",-61.18
SALE,02/07/2017,02/09/2017,"MCDONALD'S F4210",-1.09
SALE,02/05/2017,02/07/2017,"DD/BR #344821      Q35",-3.90
SALE,02/03/2017,02/05/2017,"CAFE OLYMPIA 55",-10.29
SALE,02/02/2017,02/05/2017,"Dos Toros",-12.25
SALE,02/03/2017,02/05/2017,"Amazon web services",-0.51
SALE,02/01/2017,02/03/2017,"PRET A MANGER 0064",-24.45
SALE,02/01/2017,02/03/2017,"MTA MVM*A025-34 ST-HERA",-117.50
SALE,01/30/2017,02/01/2017,"MCDONALD'S F4210",-5.32
SALE,01/29/2017,01/31/2017,"MCDONALD'S F4210",-1.09
SALE,01/27/2017,01/29/2017,"MCDONALD'S F4210",-3.03
SALE,01/27/2017,01/29/2017,"MCDONALD'S F4210",-1.09
SALE,01/26/2017,01/29/2017,"MCDONALD'S F4210",-1.09
SALE,01/25/2017,01/27/2017,"MCDONALD'S F4210",-1.09
SALE,01/25/2017,01/27/2017,"MCDONALD'S F4210",-1.09
SALE,01/24/2017,01/25/2017,"SIMPLEMOBILE*SERVICES",-41.47
SALE,01/20/2017,01/22/2017,"MCDONALD'S F4210",-1.09
SALE,01/18/2017,01/20/2017,"MCDONALD'S F4210",-3.03
SALE,01/18/2017,01/20/2017,"MCDONALD'S F4210",-1.09
FEE,01/20/2017,01/20/2017,"CASH ADVANCE INTEREST CHA",-15.37
SALE,01/17/2017,01/19/2017,"MCDONALD'S F4210",-1.09
SALE,01/15/2017,01/17/2017,"MCDONALD'S F4210",-1.09
SALE,01/12/2017,01/15/2017,"MCDONALD'S F4210",-1.09
SALE,01/12/2017,01/13/2017,"HEROKU",-55.00
SALE,01/10/2017,01/12/2017,"MCDONALD'S F4210",-1.09
SALE,01/05/2017,01/08/2017,"MCDONALD'S F4210",-1.09
SALE,01/04/2017,01/06/2017,"MCDONALD'S F4210",-4.12
SALE,01/04/2017,01/06/2017,"DUNKIN #338749     Q35",-3.73
SALE,01/03/2017,01/05/2017,"MCDONALD'S F4210",-1.09
SALE,01/03/2017,01/04/2017,"Amazon web services",-0.51
SALE,12/30/2016,01/01/2017,"PP*HOY WONG RESTAURANT",-30.05
SALE,12/29/2016,01/01/2017,"MCDONALD'S F4210",-1.09
